herb_id,herb_name_en,botanical_name,image_url,page_url
HERB-0032,Platycodon root,Platycodon grandiflorus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Platycodon_grandiflorum2.jpg/250px-Platycodon_grandiflorum2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Platycodon
HERB-0034,Loquat leaf,Eriobotrya japonica,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Loquat-0.jpg/250px-Loquat-0.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Loquat
HERB-0035,Kudzu root,Pueraria montana var. lobata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Starr_021012-9100_Pueraria_montana_var._lobata.jpg/250px-Starr_021012-9100_Pueraria_montana_var._lobata.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Pueraria_montana_var._lobata
HERB-0036,Dandelion,Taraxacum officinale species aggregate,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/DandelionFlower.jpg/250px-DandelionFlower.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Taraxacum
HERB-0037,Milk thistle,Silybum marianum,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Milk_thistle_flowerhead.jpg/250px-Milk_thistle_flowerhead.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Silybum_marianum
HERB-0038,Echinacea,Echinacea purpurea,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Echinacea_purpurea_Grandview_Prairie.jpg/250px-Echinacea_purpurea_Grandview_Prairie.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Echinacea_purpurea
HERB-0039,Elderberry,Sambucus nigra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Sambucus_nigra_004.jpg/250px-Sambucus_nigra_004.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Sambucus_nigra
HERB-0040,Psyllium husk,Plantago ovata,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Plantago_ovata_form.jpg/250px-Plantago_ovata_form.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Plantago_ovata
HERB-0041,White atractylodes,Atractylodes macrocephala,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Baizhu_roots.jpg/250px-Baizhu_roots.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Atractylodes_macrocephala
HERB-0042,Poria,Wolfiporia cocos,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Tuckahoe.jpg/250px-Tuckahoe.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Wolfiporia_extensa
HERB-0043,Codonopsis root,Codonopsis pilosula,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Codonopsis_pilosula_flowers.jpg/250px-Codonopsis_pilosula_flowers.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Codonopsis_pilosula
HERB-0044,Dwarf lilyturf root,Ophiopogon japonicus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Japonska_ka%C4%8Dja_brada.jpg/250px-Japonska_ka%C4%8Dja_brada.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Ophiopogon_japonicus
HERB-0045,Glehnia root,Glehnia littoralis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Glehnia_littoralis.jpg/250px-Glehnia_littoralis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Glehnia
HERB-0046,Chinese figwort root,Scrophularia ningpoensis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Scrophularia_ningpoensis_Kew.jpg/250px-Scrophularia_ningpoensis_Kew.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Scrophularia_ningpoensis
